group,seed,round_index,relative_round,phase,val_acc,delta_acc,cos_ce_kl,g_ce_norm,g_kl_norm
0.9,123,1,-99,kl,30.44,20.94,0.2853794991970062,0.5632303953170776,1.082793116569519
0.9,123,2,-98,kl,41.48,11.039999999999996,0.5365458130836487,0.6883959770202637,1.3657740354537964
0.9,123,3,-97,kl,53.38,11.900000000000006,0.4385550320148468,0.6551014184951782,1.3831180334091187
0.9,123,4,-96,kl,58.16,4.779999999999994,0.5667855143547058,0.6004102230072021,1.3063868284225464
0.9,123,5,-95,kl,63.34,5.180000000000007,0.3777540326118469,0.5024493932723999,1.2334623336791992
0.9,123,6,-94,kl,67.28,3.9399999999999977,0.5605376958847046,0.5169528126716614,1.116544485092163
0.9,123,7,-93,kl,68.9,1.6200000000000045,0.7275588512420654,0.5705661773681641,1.275957465171814
0.9,123,8,-92,kl,70.68,1.7800000000000011,0.5776810050010681,0.5245885252952576,1.1385056972503662
0.9,123,9,-91,kl,71.2,0.519999999999996,0.6439302563667297,0.5209982991218567,1.1903290748596191
0.9,123,10,-90,kl,72.02,0.8199999999999932,0.49199002981185913,0.501044750213623,0.9451547861099243
0.9,123,11,-89,kl,73.74,1.7199999999999989,0.5649978518486023,0.5303810834884644,1.1705328226089478
0.9,123,12,-88,kl,75.7,1.960000000000008,0.2816030979156494,0.43136486411094666,1.0021775960922241
0.9,123,13,-87,kl,76.4,0.7000000000000028,0.5786566734313965,0.4683995246887207,0.8041548132896423
0.9,123,14,-86,kl,76.44,0.03999999999999204,0.6769999265670776,0.49995505809783936,1.036407709121704
0.9,123,15,-85,kl,78.08,1.6400000000000006,0.5820820331573486,0.4716890752315521,0.8791968822479248
0.9,123,16,-84,kl,76.58,-1.5,0.43850183486938477,0.45564284920692444,0.9501215815544128
0.9,123,17,-83,kl,74.68,-1.8999999999999915,0.5561013221740723,0.5111647844314575,1.0775115489959717
0.9,123,18,-82,kl,77.22,2.539999999999992,0.5571420192718506,0.4727632999420166,0.970312774181366
