policy,seed,round,student,phase,teacher,teacher_acc,lr,pre_acc,pre_loss,post_acc,post_loss,cf_teacher,cf_teacher_start_acc,cf_teacher_acc,cf_acc,cf_loss,d_acc,d_loss,window
MWM_AccDiff,42,1,3,kd,4.0,13.66,0.1,9.94,2.4335200691223147,15.4,2.5077555889129637,,,,,,5.460000000000001,0.07423551979064902,1-20
MWM_AccDiff,42,1,1,kd,5.0,10.62,0.1,9.56,2.4497131542205812,10.64,2.645237310409546,,,,,,1.08,0.19552415618896468,1-20
MWM_AccDiff,42,1,9,kd,2.0,11.1,0.1,7.42,2.4722107765197756,9.78,2.449287963104248,,,,,,2.3599999999999994,-0.02292281341552771,1-20
MWM_AccDiff,42,1,6,ce,,,0.1,10.1,2.455472416305542,40.36,1.7467439826965332,4.0,13.66,13.66,10.52,2.5369234561920164,30.259999999999998,-0.7087284336090087,1-20
MWM_AccDiff,42,1,7,kd,8.0,10.58,0.1,10.0,2.5385899616241456,11.62,2.483850161361694,,,,,,1.6199999999999992,-0.05473980026245151,1-20
MWM_AccDiff,42,2,9,kd,3.0,15.4,0.1,9.78,2.449287963104248,14.98,2.5450316699981688,,,,,,5.200000000000001,0.09574370689392087,1-20
MWM_AccDiff,42,2,5,kd,4.0,13.66,0.1,10.62,2.539627278137207,15.1,2.530308060836792,,,,,,4.48,-0.009319217300415072,1-20
MWM_AccDiff,42,2,8,kd,6.0,40.36,0.1,10.58,2.4011038234710695,38.76,1.7574792394638061,,,,,,28.18,-0.6436245840072634,1-20
MWM_AccDiff,42,2,1,kd,7.0,11.62,0.1,10.64,2.645237310409546,12.5,2.5828339736938477,,,,,,1.8599999999999994,-0.0624033367156982,1-20
MWM_AccDiff,42,2,2,ce,,,0.1,11.1,2.3685577098846435,43.46,1.5381482997894287,6.0,40.36,40.36,38.1,1.8125112829208374,32.36,-0.8304094100952149,1-20
MWM_AccDiff,42,3,4,ce,,,0.1,13.66,2.45139803237915,40.36,1.6363295650482177,2.0,43.46,43.46,38.68,1.7591627256393432,26.7,-0.8150684673309325,1-20
MWM_AccDiff,42,3,9,kd,6.0,40.36,0.1,14.98,2.5450316699981688,38.46,1.7893796468734742,,,,,,23.48,-0.7556520231246946,1-20
MWM_AccDiff,42,3,7,kd,2.0,43.46,0.1,11.62,2.483850161361694,42.28,1.5916522932052612,,,,,,30.660000000000004,-0.8921978681564329,1-20
MWM_AccDiff,42,3,1,kd,3.0,15.4,0.1,12.5,2.5828339736938477,14.48,2.574672495651245,,,,,,1.9800000000000004,-0.008161478042602699,1-20
MWM_AccDiff,42,3,5,kd,8.0,38.76,0.1,15.1,2.530308060836792,37.4,1.854369327545166,,,,,,22.299999999999997,-0.6759387332916258,1-20
MWM_AccDiff,42,4,1,kd,2.0,43.46,0.1,14.48,2.574672495651245,40.3,1.6615306228637696,,,,,,25.819999999999997,-0.9131418727874754,1-20
MWM_AccDiff,42,4,9,kd,7.0,42.28,0.1,38.46,1.7893796468734742,40.06,1.661910906600952,,,,,,1.6000000000000014,-0.12746874027252209,1-20
MWM_AccDiff,42,4,3,kd,6.0,40.36,0.1,15.4,2.5077555889129637,40.48,1.6884865354537963,,,,,,25.08,-0.8192690534591673,1-20
MWM_AccDiff,42,4,8,kd,4.0,40.36,0.1,38.76,1.7574792394638061,38.72,1.6648670879364014,,,,,,-0.03999999999999915,-0.09261215152740476,1-20
MWM_AccDiff,42,4,5,ce,,,0.1,37.4,1.854369327545166,23.86,3.552401312637329,2.0,43.46,43.46,41.48,1.5854533500671386,-13.54,1.698031985092163,1-20
MWM_AccDiff,42,5,8,kd,7.0,42.28,0.1,38.72,1.6648670879364014,37.44,2.439216748046875,,,,,,-1.2800000000000011,0.7743496601104738,1-20
MWM_AccDiff,42,5,9,ce,,,0.1,40.06,1.661910906600952,50.68,1.38171372756958,2.0,43.46,43.46,40.78,1.5801509750366212,10.619999999999997,-0.280197179031372,1-20
MWM_AccDiff,42,5,1,kd,4.0,40.36,0.1,40.3,1.6615306228637696,39.42,1.6303058032989501,,,,,,-0.8799999999999955,-0.031224819564819484,1-20
MWM_AccDiff,42,5,6,kd,3.0,40.48,0.1,40.36,1.7467439826965332,39.26,2.0952303047180174,,,,,,-1.1000000000000014,0.3484863220214842,1-20
MWM_AccDiff,42,5,5,kd,2.0,43.46,0.1,23.86,3.552401312637329,42.88,1.5614527210235596,,,,,,19.020000000000003,-1.9909485916137695,1-20
MWM_AccDiff,42,6,4,ce,,,0.1,40.36,1.6363295650482177,46.16,1.511671446800232,9.0,50.68,50.68,42.12,1.6596184844970703,5.799999999999997,-0.12465811824798578,1-20
MWM_AccDiff,42,6,3,kd,2.0,43.46,0.1,40.48,1.6884865354537963,41.78,1.5854669849395753,,,,,,1.3000000000000043,-0.10301955051422107,1-20
MWM_AccDiff,42,6,1,kd,7.0,42.28,0.1,39.42,1.6303058032989501,40.56,1.6506286947250366,,,,,,1.1400000000000006,0.020322891426086453,1-20
MWM_AccDiff,42,6,6,kd,9.0,50.68,0.1,39.26,2.0952303047180174,46.06,1.604108646774292,,,,,,6.800000000000004,-0.4911216579437254,1-20
MWM_AccDiff,42,6,8,kd,5.0,42.88,0.1,37.44,2.439216748046875,40.84,1.618116300201416,,,,,,3.4000000000000057,-0.8211004478454591,1-20
MWM_AccDiff,42,7,7,ce,,,0.1,42.28,1.5916522932052612,45.94,1.4978498722076417,9.0,50.68,50.68,47.38,1.4908790718078613,3.6599999999999966,-0.0938024209976196,1-20
MWM_AccDiff,42,7,1,kd,2.0,43.46,0.1,40.56,1.6506286947250366,42.16,1.5784460479736329,,,,,,1.5999999999999943,-0.07218264675140373,1-20
MWM_AccDiff,42,7,3,kd,9.0,50.68,0.1,41.78,1.5854669849395753,48.56,1.4314842872619629,,,,,,6.780000000000001,-0.1539826976776124,1-20
MWM_AccDiff,42,7,5,kd,4.0,46.16,0.1,42.88,1.5614527210235596,45.16,1.5543430326461791,,,,,,2.279999999999994,-0.007109688377380463,1-20
MWM_AccDiff,42,7,8,kd,6.0,46.06,0.1,40.84,1.618116300201416,45.02,1.7082696884155273,,,,,,4.18,0.09015338821411123,1-20
MWM_AccDiff,42,8,7,kd,3.0,48.56,0.1,45.94,1.4978498722076417,49.62,1.4384145259857177,,,,,,3.6799999999999997,-0.059435346221923924,1-20
MWM_AccDiff,42,8,1,kd,4.0,46.16,0.1,42.16,1.5784460479736329,43.34,1.6650895515441895,,,,,,1.1800000000000068,0.08664350357055661,1-20
