policy,seed,round,student,phase,teacher,teacher_acc,lr,pre_acc,pre_loss,post_acc,post_loss,cf_teacher,cf_teacher_start_acc,cf_teacher_acc,cf_acc,cf_loss,pre_train_acc,pre_train_loss,d_acc,d_loss,window
mwm_accdiff_all_ce,0,1,2,ce,,,0.1,9.759999811649323,2.493145704269409,42.739999294281006,1.5414756536483765,,,,,,,,32.97999948263168,-0.9516700506210327,1-20
mwm_accdiff_all_ce,0,1,3,ce_peer,6.0,10.159999877214432,0.1,9.040000289678574,2.359928607940674,41.78000092506409,1.6287941932678223,,,,,,,,32.74000063538551,-0.7311344146728516,1-20
mwm_accdiff_all_ce,0,1,5,ce_peer,9.0,10.379999876022339,0.1,8.799999952316284,2.4277799129486084,40.1199996471405,1.607697606086731,,,,,,,,31.31999969482422,-0.8200823068618774,1-20
mwm_accdiff_all_ce,0,1,4,ce_peer,1.0,10.14000028371811,0.1,9.480000287294388,2.460439920425415,35.78000068664551,1.73257577419281,,,,,,,,26.30000039935112,-0.727864146232605,1-20
mwm_accdiff_all_ce,0,1,7,ce_peer,8.0,10.239999741315842,0.1,8.139999955892563,2.4463491439819336,37.34000027179718,1.7101188898086548,,,,,,,,29.200000315904617,-0.7362302541732788,1-20
mwm_accdiff_all_ce,0,2,4,ce,,,0.1,35.78000068664551,1.73257577419281,44.56000030040741,1.497376799583435,,,,,,,,8.779999613761902,-0.235198974609375,1-20
mwm_accdiff_all_ce,0,2,1,ce_peer,5.0,40.1199996471405,0.1,10.14000028371811,2.397594928741455,41.71999990940094,1.5841771364212036,,,,,,,,31.57999962568283,-0.8134177923202515,1-20
mwm_accdiff_all_ce,0,2,6,ce_peer,7.0,37.34000027179718,0.1,10.159999877214432,2.58402156829834,38.019999861717224,1.7105742692947388,,,,,,,,27.859999984502792,-0.8734472990036011,1-20
mwm_accdiff_all_ce,0,2,9,ce_peer,3.0,41.78000092506409,0.1,10.379999876022339,2.775395154953003,39.41999971866608,1.6623613834381104,,,,,,,,29.039999842643738,-1.1130337715148926,1-20
mwm_accdiff_all_ce,0,2,8,ce_peer,2.0,42.739999294281006,0.1,10.239999741315842,2.563965082168579,36.35999858379364,1.689133644104004,,,,,,,,26.1199988424778,-0.8748314380645752,1-20
mwm_accdiff_all_ce,0,3,8,ce_peer,3.0,41.78000092506409,0.1,36.35999858379364,1.689133644104004,46.619999408721924,1.5136791467666626,,,,,,,,10.260000824928284,-0.1754544973373413,1-20
mwm_accdiff_all_ce,0,3,6,ce_peer,2.0,42.739999294281006,0.1,38.019999861717224,1.7105742692947388,47.279998660087585,1.4695597887039185,,,,,,,,9.259998798370361,-0.2410144805908203,1-20
