method,model_idx,sigma,repeat,accuracy,loss,acc_drop,loss_increase
CelNet,1,0.0,0,83.79,0.48594015222787856,0.0,0.0
CelNet,1,0.01,0,83.6,0.4869721466779709,0.19000000000001194,0.0010319944500923328
CelNet,1,0.01,1,83.73,0.48638212423324584,0.060000000000002274,0.0004419720053672749
CelNet,1,0.01,2,83.64,0.48735491168498996,0.15000000000000568,0.001414759457111392
CelNet,1,0.01,3,83.64,0.4864940774202347,0.15000000000000568,0.0005539251923561417
CelNet,1,0.01,4,83.77,0.48698869922161103,0.020000000000010232,0.0010485469937324687
CelNet,1,0.02,0,83.46,0.48851658660173414,0.3300000000000125,0.002576434373855574
CelNet,1,0.02,1,83.73,0.488029249382019,0.060000000000002274,0.0020890971541404624
CelNet,1,0.02,2,83.53,0.4895155537605286,0.2600000000000051,0.0035754015326500133
CelNet,1,0.02,3,83.57,0.4879719203352928,0.22000000000001307,0.0020317681074142335
CelNet,1,0.02,4,83.78,0.4887547190785408,0.010000000000005116,0.0028145668506622257
CelNet,1,0.05,0,83.22,0.4961950338125229,0.5700000000000074,0.010254881584644326
CelNet,1,0.05,1,83.08,0.501077800810337,0.710000000000008,0.015137648582458474
CelNet,1,0.05,2,83.24,0.5008834331512452,0.5500000000000114,0.014943280923366609
CelNet,1,0.05,3,83.42,0.4974186488389969,0.37000000000000455,0.011478496611118327
CelNet,1,0.05,4,83.33,0.49945604186058046,0.46000000000000796,0.013515889632701894
CelNet,1,0.1,0,82.63,0.5189382198572159,1.1600000000000108,0.032998067629337324
CelNet,1,0.1,1,81.46,0.5511179341316224,2.3300000000000125,0.06517778190374379
CelNet,1,0.1,2,82.16,0.5383810994148255,1.6300000000000097,0.05244094718694692
CelNet,1,0.1,3,82.33,0.5291911077976227,1.460000000000008,0.04325095556974412
CelNet,1,0.1,4,82.31,0.5348194753885269,1.480000000000004,0.04887932316064836
CelNet,1,0.2,0,79.58,0.6026209774732589,4.210000000000008,0.11668082524538037
CelNet,1,0.2,1,74.83,0.7816022899150848,8.960000000000008,0.2956621376872063
CelNet,1,0.2,2,77.44,0.6950238450050354,6.3500000000000085,0.20908369277715688
CelNet,1,0.2,3,77.54,0.6586654505729675,6.25,0.17272529834508898
CelNet,1,0.2,4,77.92,0.6716120681285859,5.8700000000000045,0.1856719159007073
CelNet,2,0.0,0,83.16,0.48279093911647797,0.0,0.0
CelNet,2,0.01,0,83.09,0.48234124755859376,0.06999999999999318,-0.0004496915578842131
CelNet,2,0.01,1,83.33,0.48349783732891083,-0.1700000000000017,0.0007068982124328604
CelNet,2,0.01,2,83.21,0.482353417801857,-0.04999999999999716,-0.0004375213146209922
CelNet,2,0.01,3,83.06,0.4842162862062454,0.09999999999999432,0.001425347089767437
CelNet,2,0.01,4,83.3,0.4835584230661392,-0.14000000000000057,0.0007674839496612518
CelNet,2,0.02,0,83.05,0.4823770533323288,0.10999999999999943,-0.00041388578414919275
CelNet,2,0.02,1,83.3,0.48470106315612793,-0.14000000000000057,0.001910124039649963
CelNet,2,0.02,2,83.25,0.48235243895053864,-0.09000000000000341,-0.00043850016593932617
CelNet,2,0.02,3,83.01,0.4863132221698761,0.14999999999999147,0.003522283053398134
CelNet,2,0.02,4,83.22,0.48517573499679567,-0.060000000000002274,0.0023847958803177027
CelNet,2,0.05,0,83.0,0.4855290536403656,0.1599999999999966,0.0027381145238876137
CelNet,2,0.05,1,83.14,0.49124964940547944,0.01999999999999602,0.00845871028900147
CelNet,2,0.05,2,83.22,0.485135401391983,-0.060000000000002274,0.002344462275505055
CelNet,2,0.05,3,82.79,0.4966692225933075,0.36999999999999034,0.013878283476829512
CelNet,2,0.05,4,83.0,0.4946833584547043,0.1599999999999966,0.011892419338226323
CelNet,2,0.1,0,82.62,0.5016709649085999,0.539999999999992,0.01888002579212189
CelNet,2,0.1,1,82.38,0.5115636101722717,0.7800000000000011,0.02877267105579373
CelNet,2,0.1,2,82.99,0.4984074967384338,0.1700000000000017,0.015616557621955851
CelNet,2,0.1,3,81.46,0.5284131811618805,1.7000000000000028,0.04562224204540255
CelNet,2,0.1,4,82.07,0.5250851262807846,1.0900000000000034,0.04229418716430666
CelNet,2,0.2,0,80.21,0.5873069526195526,2.950000000000003,0.1045160135030746
CelNet,2,0.2,1,79.96,0.5898482592582702,3.200000000000003,0.10705732014179226
CelNet,2,0.2,2,80.48,0.5673086366653443,2.6799999999999926,0.08451769754886629
CelNet,2,0.2,3,77.32,0.6560829572200775,5.840000000000003,0.1732920181035995
CelNet,2,0.2,4,78.41,0.6494110234260559,4.75,0.16662008430957798
CelNet,3,0.0,0,80.85,0.5974458610057831,0.0,0.0
CelNet,3,0.01,0,80.87,0.5983391203403473,-0.020000000000010232,0.0008932593345641893
CelNet,3,0.01,1,80.81,0.5987756629228592,0.03999999999999204,0.001329801917076101
CelNet,3,0.01,2,80.74,0.6044949588537216,0.10999999999999943,0.007049097847938501
CelNet,3,0.01,3,80.97,0.5928545627832412,-0.12000000000000455,-0.004591298222541895
CelNet,3,0.01,4,80.92,0.5967647173881531,-0.07000000000000739,-0.0006811436176300534
CelNet,3,0.02,0,80.87,0.5996687280893326,-0.020000000000010232,0.0022228670835494624
CelNet,3,0.02,1,80.73,0.6008175108909607,0.11999999999999034,0.0033716498851775745
CelNet,3,0.02,2,80.59,0.6134807784318924,0.2599999999999909,0.016034917426109296
CelNet,3,0.02,3,81.07,0.5892651237487793,-0.21999999999999886,-0.008180737257003856
CelNet,3,0.02,4,80.96,0.597005451798439,-0.10999999999999943,-0.0004404092073441168
CelNet,3,0.05,0,80.64,0.6061921335697175,0.20999999999999375,0.008746272563934343
