,,accuracy,accuracy,acc_drop,acc_drop,loss_increase,loss_increase
,,mean,std,mean,std,mean,std
method,sigma,,,,,,
CE,0.01,86.56555555555556,0.22213382080051522,-0.021111111111110543,0.08048778061471883,0.0008158188268873415,0.001339484713789473
CE,0.02,86.50555555555556,0.23325323300454318,0.038888888888890784,0.125085829119309,0.003609357493718463,0.002783094528282485
CE,0.05,86.05355555555555,0.2981545934849232,0.4908888888888915,0.2703097736623199,0.02445458902835846,0.009267273953352806
CE,0.1,84.19511111111112,0.7169937942619169,2.3493333333333357,0.7463224991431479,0.10687875753084819,0.032482350020580204
CE,0.2,75.066,2.8928355073745995,11.478444444444447,2.9410178784931196,0.5420414468044705,0.1727214999433643
CE_24epochs,0.01,80.51599999999999,0.743359695143363,0.03400000000000002,0.08043631020876045,0.0006994921223322558,0.0015811600627395593
CE_24epochs,0.02,80.47444444444444,0.7336352684206996,0.075555555555556,0.13088085413763867,0.002763491567505727,0.0032922041480006065
CE_24epochs,0.05,79.96555555555555,0.8153988303433175,0.584444444444445,0.2800045093431978,0.01739404976156023,0.009931241344889692
CE_24epochs,0.1,78.29888888888888,1.1849668622566896,2.2511111111111113,0.7880650129567126,0.07223748997873729,0.028494836233767425
CE_24epochs,0.2,70.87044444444444,2.958024490921075,9.679555555555556,2.6996059944466935,0.323262375658883,0.10810643070854195
CelNet,0.01,82.76044444444445,1.3427295056162694,0.00955555555555697,0.08474441669877968,0.00022265782064861343,0.0016934490787091463
CelNet,0.02,82.72888888888889,1.3127733000688815,0.04111111111111162,0.14152131580890176,0.0012046292993757443,0.003480203865408215
CelNet,0.05,82.5008888888889,1.2963126415515922,0.26911111111111236,0.29745757697697006,0.008772328034771815,0.00978402709079453
CelNet,0.1,81.654,1.314064478838636,1.1160000000000019,0.6821603383902701,0.03759435689290364,0.025436431142233335
CelNet,0.2,77.53044444444444,2.243721498229264,5.239555555555556,2.0887174789977485,0.17035580108748544,0.08902654294463139
KD,0.01,87.20311111111111,0.18170683459180345,0.034666666666668615,0.07260102678963305,0.001217266496022545,0.001504485712787978
KD,0.02,87.15866666666666,0.16793667637752066,0.07911111111111274,0.1118201116693125,0.004084918833308747,0.0030881314699401957
KD,0.05,86.7551111111111,0.20549963749384184,0.48266666666666885,0.21017741423508196,0.02263325454182094,0.009731627830201492
KD,0.1,85.25755555555556,0.5648336664072616,1.9802222222222232,0.5806598475750321,0.09036744605938594,0.03252089194006958
KD,0.2,77.96133333333334,3.0633349325679182,9.276444444444445,3.092238932579697,0.4370573201375538,0.18529755213357724
